perturbation,kind,city,guild,blocked_jaccard,ec_real_ha_delta_pct,connected_habitat_pct_delta_pct,n_subnetworks_delta_pct,nb_corridors_delta_pct,nb_failed_corridors_delta_pct
c80_m20,local,Perpignan,ground_mammal,1.0,0.0,0.0,0.0,0.0,0.0
c80_p20,local,Perpignan,ground_mammal,1.0,0.0,0.0,0.0,0.0,0.0
c90_m20,local,Perpignan,ground_mammal,1.0,0.0,0.0,0.0,0.0,0.0
c90_p20,local,Perpignan,ground_mammal,1.0,0.0,0.0,0.0,0.0,0.0
c95_m20,local,Perpignan,ground_mammal,1.0,0.0,0.0,0.0,0.0,0.0
c95_p20,local,Perpignan,ground_mammal,1.0,0.0,0.0,0.0,0.0,0.0
d0_m25,local,Perpignan,ground_mammal,1.0,-8.6,-8.5,0.0,-2.0,314.3
d0_p25,local,Perpignan,ground_mammal,1.0,6.6,6.5,0.0,0.4,-57.1
fric_m20,local,Perpignan,ground_mammal,1.0,6.6,6.5,0.0,0.4,-57.1
fric_p20,local,Perpignan,ground_mammal,1.0,-5.4,-5.4,0.0,-1.5,228.6
swd0_050,sweep,Perpignan,ground_mammal,1.0,-20.0,-20.0,200.0,-8.4,1271.4
swd0_060,sweep,Perpignan,ground_mammal,1.0,-15.0,-15.1,0.0,-5.7,871.4
swd0_070,sweep,Perpignan,ground_mammal,1.0,-10.6,-10.6,0.0,-3.3,500.0
swd0_075,sweep,Perpignan,ground_mammal,1.0,-8.6,-8.5,0.0,-2.0,314.3
swd0_080,sweep,Perpignan,ground_mammal,1.0,-6.7,-6.7,0.0,-1.7,257.1
swd0_090,sweep,Perpignan,ground_mammal,1.0,-3.2,-3.3,0.0,-0.7,100.0
swd0_110,sweep,Perpignan,ground_mammal,1.0,2.8,2.8,0.0,0.2,-28.6
swd0_120,sweep,Perpignan,ground_mammal,1.0,5.4,5.3,0.0,0.4,-57.1
swd0_125,sweep,Perpignan,ground_mammal,1.0,6.6,6.5,0.0,0.4,-57.1
swd0_150,sweep,Perpignan,ground_mammal,1.0,11.8,11.6,0.0,0.6,-85.7
swfc_000,sweep,Perpignan,ground_mammal,1.0,49.7,49.7,0.0,-0.9,-100.0
swfc_025,sweep,Perpignan,ground_mammal,1.0,26.9,26.9,0.0,-0.9,-100.0
swfc_050,sweep,Perpignan,ground_mammal,1.0,14.9,14.9,0.0,-0.1,-100.0
swfc_075,sweep,Perpignan,ground_mammal,1.0,6.5,6.5,0.0,0.0,-57.1
swfc_125,sweep,Perpignan,ground_mammal,1.0,-5.2,-5.3,0.0,-1.7,257.1
swfc_150,sweep,Perpignan,ground_mammal,1.0,-9.6,-9.6,0.0,-2.9,514.3
swfc_200,sweep,Perpignan,ground_mammal,1.0,-16.4,-16.5,100.0,-6.8,1085.7
c10_m20,local,Perpignan,ground_reptile,1.0,1.1,1.3,0.0,0.9,-2.6
