perturbation,city,guild,nb_nodes,isolated_nodes_count,cores_count,islets_count,n_subnetworks_theory,n_subnetworks,subnetworks_split_by_failed_links,largest_subnetwork_size,nb_corridors,nb_failed_corridors,pc_theory,pc_real,connectivity_loss_pct,ec_theory_ha,ec_real_ha,connected_habitat_pct,median_tortuosity,mean_tortuosity,aoi_total_ha,habitat_ha_in_aoi,habitat_coverage_pct,nodes_in_aoi,cores_in_aoi,islets_in_aoi
swfc_025,LaRochelle,arboreal_mammal,1046.0,0.0,238.0,1438.0,1.0,1.0,0.0,1011.0,1875.0,6.0,0.0003269143163134,0.0001092631834104,,598.2,345.8,23.4,1.1977853538024572,1.3317928459121262,33083.8,1478.9,4.5,1015.0,124.0,891.0
swfc_025,LaRochelle,forest_edge_bird,1045.0,0.0,206.0,1284.0,1.0,2.0,1.0,1007.0,1851.0,29.0,0.0002337931191182,8.111613882764678e-05,,505.9,298.0,20.1,1.162454936660589,1.2941529958192663,33083.8,1478.9,4.5,1015.0,124.0,891.0
swfc_025,LRSY,ground_reptile,4659.0,0.0,1483.0,4544.0,1.0,1.0,0.0,4460.0,9833.0,20.0,0.0277872435924384,0.0058272910290487,,8370.9,3833.4,26.7,1.25,1.564910504265913,50216.7,14348.9,28.6,4465.0,1115.0,3350.0
swfc_025,LRSY,arboreal_mammal,4545.0,0.0,1062.0,6896.0,1.0,1.0,0.0,4458.0,9590.0,0.0,0.0252138033179674,0.0089595277200187,,7973.8,4753.2,47.7,1.2377830105420526,1.4665090283502753,50216.7,9975.0,19.9,4463.0,591.0,3872.0
swfc_025,LRSY,ground_mammal,2086.0,1.0,1475.0,3881.0,1.0,1.0,0.0,2030.0,4525.0,1.0,0.2467937935069572,0.2139068401936162,,24946.8,23225.2,92.1,1.4142135623730951,1.839621919699655,50216.7,25208.1,50.2,2039.0,524.0,1515.0
swfc_025,LRSY,forest_edge_bird,4545.0,0.0,956.0,6148.0,1.0,1.0,0.0,4459.0,9576.0,0.0,0.0219258516314309,0.0052636930670638,,7435.8,3643.3,36.5,1.1988104163382045,1.397323065475835,50216.7,9974.9,19.9,4463.0,591.0,3872.0
c30_p20,Perpignan,ground_mammal,532.0,0.0,525.0,1421.0,1.0,1.0,0.0,507.0,1073.0,7.0,0.144440410215046,0.062635470699149,56.63577069194417,2580.4,1699.2,64.1,1.6057428371556597,3.313436738763581,6789.5,2651.8,39.1,510.0,119.0,391.0
c30_p20,Perpignan,ground_reptile,691.0,12.0,196.0,1177.0,1.0,14.0,13.0,181.0,1082.0,266.0,0.0099220170191097,0.0015557347316249,84.32037831996698,676.3,267.8,22.9,1.390015816517717,1.9670965947154255,6789.5,1167.8,17.2,605.0,91.0,514.0
swd0_120,Nancy,arboreal_mammal,1211.0,0.0,291.0,2095.0,1.0,1.0,0.0,1186.0,2571.0,3.0,0.0950116839578305,0.0379157255487704,,4403.5,2781.7,58.8,1.4670082121375128,2.019292580095732,14285.8,4734.8,33.1,1189.0,121.0,1068.0
swd0_120,Nancy,forest_edge_bird,1211.0,0.0,243.0,1838.0,1.0,1.0,0.0,1186.0,2539.0,32.0,0.0908942738835951,0.0320359952483649,,4307.0,2557.0,54.0,1.4136012156790343,1.7370171229789024,14285.8,4735.0,33.1,1189.0,121.0,1068.0
swd0_120,Nancy,ground_mammal,1175.0,1.0,424.0,1839.0,1.0,1.0,0.0,1161.0,2631.0,6.0,0.2249511417960329,0.1299642136180024,,6775.6,5150.1,74.4,1.6014810329610556,2.7577143053530127,14285.8,6925.7,48.5,1163.0,159.0,1004.0
swd0_120,Nancy,ground_reptile,826.0,6.0,208.0,990.0,1.0,2.0,1.0,774.0,1406.0,209.0,0.0087653509104853,0.0013094535309662,,1337.5,517.0,25.0,1.408887284049781,1.98236666950538,14285.8,2070.0,14.5,793.0,127.0,666.0
swd0_120,Kourou,ground_reptile,297.0,3.0,99.0,325.0,1.0,4.0,3.0,185.0,493.0,50.0,0.0099777992955024,0.0050777410264599,,1224.7,873.7,46.6,1.4142135623730951,1.984749561118782,12261.1,1876.1,15.3,286.0,65.0,221.0
swd0_120,Kourou,forest_edge_bird,211.0,0.0,84.0,300.0,1.0,1.0,0.0,200.0,401.0,20.0,0.13157430091393,0.0774119838564841,,4447.5,3411.4,74.7,1.1428571428571428,1.32456957206631,12261.1,4564.1,37.2,200.0,50.0,150.0
swd0_120,Kourou,arboreal_mammal,210.0,0.0,99.0,344.0,1.0,1.0,0.0,199.0,411.0,4.0,0.1341516096108772,0.0983572567263931,,4490.8,3845.3,84.3,1.206160233940369,1.485390667749713,12261.1,4562.9,37.2,199.0,49.0,150.0
swd0_120,Kourou,ground_mammal,156.0,0.0,32.0,223.0,1.0,2.0,1.0,97.0,278.0,37.0,0.273615116800985,0.1360930536662094,,6413.5,4523.2,70.0,1.4142135623730951,1.800379701570574,12261.1,6458.6,52.7,150.0,25.0,125.0
