perturbation,kind,city,guild,corridor_overlap_pct,nb_corridors_delta_pct,blocked_jaccard,ec_real_ha_delta_pct,connected_habitat_pct_delta_pct,n_subnetworks_delta_pct,nb_failed_corridors_delta_pct
c52_p20,local,Perpignan,ground_reptile,99.5,-0.8,1.0,-0.1,0.0,7.1,3.3
c53_m20,local,Perpignan,ground_reptile,97.7,1.0,1.0,1.8,2.2,0.0,-6.7
c53_p20,local,Perpignan,ground_reptile,97.5,-0.4,1.0,-1.3,-1.3,7.1,3.3
c54_m20,local,Perpignan,ground_reptile,95.9,0.7,1.0,2.1,2.2,0.0,-3.3
c54_p20,local,Perpignan,ground_reptile,95.1,-0.9,1.0,-1.6,-1.3,0.0,3.0
c55_m20,local,Perpignan,ground_reptile,99.4,0.2,1.0,0.3,0.4,0.0,-0.7
c55_p20,local,Perpignan,ground_reptile,99.7,0.0,1.0,-0.2,0.0,0.0,-0.4
c60_m20,local,Perpignan,ground_reptile,99.8,0.1,1.0,0.0,0.0,0.0,-0.4
c60_p20,local,Perpignan,ground_reptile,99.3,0.0,1.0,-0.0,0.0,0.0,0.4
c80_m20,local,Perpignan,ground_reptile,100.0,0.0,1.0,0.0,0.0,0.0,0.0
c80_p20,local,Perpignan,ground_reptile,100.0,0.0,1.0,0.0,0.0,0.0,0.0
c90_m20,local,Perpignan,ground_reptile,100.0,0.0,1.0,0.0,0.0,0.0,0.0
c90_p20,local,Perpignan,ground_reptile,100.0,0.0,1.0,0.0,0.0,0.0,0.0
c95_m20,local,Perpignan,ground_reptile,100.0,0.0,1.0,0.0,0.0,0.0,0.0
c95_p20,local,Perpignan,ground_reptile,100.0,0.0,1.0,0.0,0.0,0.0,0.0
d0_m25,local,Perpignan,ground_reptile,87.5,-6.6,1.0,-9.8,-9.5,42.9,22.2
d0_p25,local,Perpignan,ground_reptile,100.0,4.4,1.0,13.6,13.9,0.0,-17.0
fric_m20,local,Perpignan,ground_reptile,99.6,4.4,1.0,8.6,8.7,0.0,-17.8
fric_p20,local,Perpignan,ground_reptile,92.2,-4.3,1.0,-6.4,-6.1,35.7,17.4
swd0_050,sweep,Perpignan,ground_reptile,70.3,-16.4,1.0,-21.1,-20.8,78.6,51.1
swd0_060,sweep,Perpignan,ground_reptile,77.3,-12.3,1.0,-16.4,-16.5,50.0,40.4
swd0_070,sweep,Perpignan,ground_reptile,85.7,-7.9,1.0,-12.0,-11.7,50.0,27.4
swd0_075,sweep,Perpignan,ground_reptile,87.5,-6.6,1.0,-9.8,-9.5,42.9,22.2
swd0_080,sweep,Perpignan,ground_reptile,90.3,-5.4,1.0,-7.8,-7.8,35.7,20.0
swd0_090,sweep,Perpignan,ground_reptile,96.2,-2.1,1.0,-3.8,-3.5,7.1,7.0
swd0_110,sweep,Perpignan,ground_reptile,100.0,2.1,1.0,5.0,5.2,0.0,-8.9
swd0_125,sweep,Perpignan,ground_reptile,100.0,4.4,1.0,13.6,13.9,0.0,-17.0
swd0_150,sweep,Perpignan,ground_reptile,100.0,7.5,1.0,25.5,25.5,-35.7,-28.9
swfc_000,sweep,Perpignan,ground_reptile,49.6,22.0,1.0,118.3,118.6,-92.9,-96.3
swfc_025,sweep,Perpignan,ground_reptile,79.7,17.1,1.0,38.7,39.0,-71.4,-76.3
swfc_050,sweep,Perpignan,ground_reptile,88.3,9.6,1.0,18.6,18.6,-42.9,-44.1
swfc_075,sweep,Perpignan,ground_reptile,94.8,3.9,1.0,7.4,7.8,-7.1,-20.4
swfc_125,sweep,Perpignan,ground_reptile,91.3,-3.7,1.0,-5.4,-5.2,28.6,16.3
swfc_150,sweep,Perpignan,ground_reptile,83.1,-7.3,1.0,-9.7,-9.5,42.9,32.6
swfc_200,sweep,Perpignan,ground_reptile,72.3,-13.0,1.0,-15.9,-16.0,57.1,55.9
d0_m25,local,LaRochelle,ground_mammal,95.7,-1.0,0.0,-7.2,-7.0,0.0,244.4
d0_p25,local,LaRochelle,ground_mammal,100.0,0.2,0.0,6.5,6.7,0.0,-27.8
fric_m20,local,LaRochelle,ground_mammal,98.5,0.1,1.0,6.5,6.7,0.0,-33.3
fric_p20,local,LaRochelle,ground_mammal,95.7,-0.4,1.0,-4.7,-4.5,0.0,105.6
d0_m25,local,LaRochelle,ground_reptile,82.1,-10.3,0.0,-5.8,-6.0,242.9,41.4
d0_p25,local,LaRochelle,ground_reptile,99.9,7.6,0.0,5.1,5.1,-57.1,-33.2
fric_m20,local,LaRochelle,ground_reptile,99.2,7.5,1.0,5.0,5.1,-57.1,-33.2
fric_p20,local,LaRochelle,ground_reptile,87.8,-6.7,1.0,-3.7,-3.9,128.6,29.7
