city,guild,output,complete,n_cells,ref_value,grand,pct_d0,pct_contrast,pct_interaction
LRSY,forest_edge_bird,ec_real_ha,True,9,1932.2,3175.222,4.5,93.3,2.2
Toulouse,ground_mammal,connected_habitat_pct,True,9,51.5,58.589,6.5,93.2,0.4
Toulouse,ground_mammal,n_subnetworks,True,9,1.0,1.333,25.0,25.0,50.0
Toulouse,ground_mammal,ec_real_ha,True,9,7674.2,8725.567,6.5,93.1,0.4
Toulouse,ground_reptile,connected_habitat_pct,True,9,8.6,11.856,9.7,84.0,6.3
Toulouse,ground_reptile,n_subnetworks,True,9,8.0,54.222,36.7,43.9,19.4
Toulouse,ground_reptile,ec_real_ha,True,9,441.6,606.378,9.7,84.1,6.3
Toulouse,arboreal_mammal,connected_habitat_pct,True,9,26.7,37.378,6.0,92.2,1.9
Toulouse,arboreal_mammal,n_subnetworks,True,9,1.0,7.333,28.0,28.1,43.9
Toulouse,arboreal_mammal,ec_real_ha,True,9,2445.3,3423.1,6.0,92.1,1.9
Toulouse,forest_edge_bird,connected_habitat_pct,True,9,21.4,32.711,5.3,91.5,3.3
Toulouse,forest_edge_bird,n_subnetworks,True,9,3.0,21.889,29.9,31.6,38.4
Toulouse,forest_edge_bird,ec_real_ha,True,9,1964.8,2996.322,5.3,91.4,3.3
